Charcoal Production Plants,,,,,,,44.7,,,,,,,,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charcoal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.262,,,119.262,,,,,84.84700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.819,,178.819,,,,,,103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2,,159.2,
Chemical (including Petrochemical),,,,,,,,,,8006.9,,,8622.7,,33.9,,,4405.2,506.4,,,0.1,129.0,20.8,,,,14374.1,513.6,,,,,,,,193.9,,,,36806.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical industry (including petrochemical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.98,6413.127,,,,9009.852,,,,,362.324,167.274,,,4073.455,547.696,,,,,0.501,,110.736,15003.77,,,,,,1358.537,,,37170.253,,,,,,,,,,6231.363245,,,,10784.3472,,,,,318.283406937,177.694,,,5893.134,544.208,,,,,5.836824,,,22225.668116250003,,135.50639999999999,201.6,67.402098859,,38.424327,,,9.156,,46632.62361804599,,,,,,,,6141.159,,,,13327.765,,,,,242.569,297.004,,6683.671,479.536,,,,,0.099,,,21095.35,,,,72.609,,67.395,,,0.056,,48407.2,
Coal Mines,,,,,,,,,,,,,1785.6,,,,,540.0,,,,39.9,,,,,,,10189.4,,,,,,,,,,,,12555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6873.498,,,,,11557.319,,,,2606.096,2063.884,,,,0.609,1091.231,,,,,,,,,,,,24192.637,,,,,,,,,,,,,,2048.7852,,,,,11251.91256048,,,,1485.434,2084.5969999999998,,,,0.704,105.614964,,,,,,,,,1.2698369999999999,,,,,16978.31756148,,,,,,,,,,,,2516.432,,,,,3597.713,,,952.649,1929.152,,,,0.66,4266.087,,,,,,,,,0.847,,3.151,,,13266.691,
Coke Ovens,,,,,,,,3751.4,11317.1,67033.3,84892.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84892.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke ovens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92457.712,67210.182,12622.8,,,54.5,,,,,,,,,632.035,,,,,,,,,,,,,,,,3542.774,,92457.712,,,,,,,,,93728.28165,63682.948000000004,11260.367,,,59.601600000000005,,,,,,,,,,,,,,,,,,,,,,,,,,3212.171208,,,93728.28165,,,,,,,123166.1,74174.3,14270.4,,,103.655,,,,,,,,,,,,,,,,,,,,,,,,,5496.4,,,123166.1,
Combined Heat and Power Plants (CHPP) (main activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296385.8,,,,,1029561.3,4631.0,,214162.6,53.8,,,,,,1.909,0.264,231506.7,,,,,,0.5,,,,,1265753.4,
Combined Heat and Power Plants (CHPP) (main activity) - electricity and heat generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297327.715,,,,,767011.688,5079.228,,,170457.534,8653.24,,,,,,,,187529.263,,,,,,0.894,,,968273.419,,,,,,,,,,,,,,298377.9000000001,,,,,732369.95916966,4723.528,,,208525.806,,,,,0.044,,,2.068,215408.903577,,,,,,,,,,,952502.3907466601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Heat and Power Plants (CHPP) (secondary activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10381.0,,,,,50141.3,2634.2,,32514.7,,,,,,,,,6563.5,,,,185.0,,,,,,,59523.9,
