Charcoal production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849,,,2.849,,,,,2.026535779115315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.271018438903219,,4.271018438903219,,,,,,2.4752316805197276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8027333524410136,,3.8027333524410136,
Chemical (including Petrochemical),,,,,,,,,,191.2,,,206.0,,0.8,,,105.2,12.1,,,,3.1,0.5,,,,309.0,12.3,,,,,,,,4.6,,,,844.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical industry (including petrochemical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.937,153.175,,,,215.197,,,,,8.654,3.995,,,97.293,13.081,,,,,0.012,,2.645,330.193,,,,,,32.448,,,859.63,,,,,,,,,,148.83355414636475,,,,257.5797076526225,,,,,7.602068571152192,4.244148275532626,,,140.75508741759816,12.99818477118563,,,,,0.13941014617368874,,,477.7658666433793,,3.236514760676411,4.815133276010318,1.6098714736552977,,0.91774928346231,,,0.2186873029521353,,1060.7159837207653,,,,,,,,146.6790528565969,,,,318.3282029234738,,,,,5.793659861994841,7.09381866819528,,159.63673927581925,11.453520588516287,,,,,0.0023549011177987963,,,503.8537864180281,,,,1.734230887431929,,1.609712023502436,,,0.0013375370211139773,,1156.1864159416978,
Coal Mines,,,,,,,,,,,,,42.6,,,,,12.9,,,,1.0,,,,,,,243.4,,,,,,,,,,,,299.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.171,,,,,276.042,,,,62.246,49.295,,,,0.015,26.064,,,,,,,,,,,,577.833,,,,,,,,,,,,,,48.934393809114354,,,,,268.7473144282029,,,,35.47898156109678,49.78974395719881,,,,0.016814751122575713,2.5225700773860704,,,,,,,,,0.030329535683576953,,,,,405.52014811980507,,,,,,,,,,,,60.10395528804814,,,,,85.92991018529665,,,22.753630457628738,46.077003917072716,,,,0.01576382917741473,101.89374548581256,,,,,,,,,0.02021969045571797,,0.0752530811120665,,,316.869481934604,
Coke Ovens,,,,,,,,89.6,270.3,1601.1,2054.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2054.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke ovens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208.315,1605.288,301.49,,,1.302,,,,,,,,,15.096,,,,,,,,,,,,,,,,84.618,,2208.315,,,,,,,,,2238.6615470048723,1521.04108149422,268.94924524696665,,,1.4235597592433362,,,,,,,,,,,,,,,,,,,,,,,,,,76.72139122957867,,,2238.6615470048723,,,,,,,2941.7719953186206,1771.6228662701828,340.84319766886404,,,2.4757523645743764,,,,,,,,,,,,,,,,,,,,,,,,,131.27987503582688,,,2941.7719953186206,
Combined Heat and Power Plants (CHPP) (main activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7079.053568357695,,,,,24590.64980002107,110.6102990350626,,5115.185941530524,1.2837966943727908,,,,,,0.04559931212381772,0.006305531670965893,5529.443324510965,,,,,,0.012356477500716535,,,,,30231.999576738974,
Combined Heat and Power Plants (CHPP) (main activity) - electricity and heat generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7101.55,,,,,18319.759,121.315,,,4071.308,206.679,,,,,,,,4127.014,,,,,,0.021,,,22774.766999999996,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7126.633705932932,0.0,0.0,0.0,0.0,17492.355956092004,112.81952804050826,0.0,0.0,4980.553310404128,1.6473679182191652,0.0,0.0,0.0,0.0,,0.0,0.0,4630.457944475494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22237.280796526225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Heat and Power Plants (CHPP) (secondary activity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.94694754944106,,,,,1197.603194322872,62.91602178274577,,776.6012945447598,,,,,,,,,156.76586750322443,,,,4.419616978671061,,,,,,,1421.7047005875131,
